Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Length Person VAR VN [km],4.527813029,4.183343968,4.036273829,4.40149274,4.001207527,3.617487899,4.890561446,3.560969125,4.413730459,3.489967142,3.672157397,4.05133154,3.689594436,3.752961588,4.389608332,3.299427105,3.9303117,3.713922846,3.649415339,4.26150942,4.142719448,4.350456384,3.741078387,4.826612928,4.374612834,4.276506897,4.472558373,4.522930219,4.230989007,5.28473236,4.428706225,4.844597763,4.774809393,4.606703968,4.52839078,4.914704629,5.392913495,4.903701314,4.442760155,5.270519223,4.717455639,4.326919159,998
Length Person VAR un [km],0.267977977,0.2950561,0.255460093,0.289891944,0.25855123,0.265115088,0.246540582,0.264125407,0.263831277,0.240545489,0.256156439,0.254017654,0.250093196,0.269431827,0.273324991,0.242565904,0.264337614,0.269774339,0.269698343,0.269397501,0.266670749,0.272575087,0.264675661,0.272387069,0.270638882,0.261646644,0.250506881,0.279431797,0.273904834,0.293929663,0.266931967,0.270233093,0.250727634,0.258151666,0.267372379,0.269286945,0.281472944,0.248398381,0.28266901,0.260404358,0.278680042,0.266825144,999
Length Person VAR EM [km],0.868703291,0.868085073,0.980272776,0.864226207,0.986324096,1.047365837,0.862068771,0.996469347,0.973485357,0.921892925,0.96539384,1.01530196,0.8952179,0.943820595,1.041265291,0.963718006,0.930298815,0.968488955,0.930244344,0.980040461,0.982240348,0.937644104,1.004004199,1.024802767,1.019257919,0.884215559,0.964678421,0.942667892,0.988001125,0.914548771,0.953194537,1.00591391,0.951407796,0.858600699,0.955222619,0.94145241,0.934389991,0.952624653,0.905111192,1.054324131,0.933692554,1.006941605,1000
Length Person VAR VC [km],0.828186025,0.774375066,0.786105088,0.83345453,0.778248139,0.76637139,0.766939497,0.833948615,0.753841621,0.763558565,0.853125843,0.758872605,0.787352893,0.774155597,0.799516096,0.75380135,0.833676426,0.776454092,0.817925813,0.819500749,0.848296533,0.817327009,0.757438605,0.788133431,0.832851274,0.816613715,0.770437398,0.818488963,0.782960175,0.794958702,0.809298943,0.779485568,0.805040962,0.816034473,0.823033658,0.840547773,0.821468665,0.823851544,0.785327129,0.881082643,0.770810428,0.793415495,1001
Length Person VAR pe [km],0.260672574,0.242940664,0.214442716,0.266746366,0.190492254,0.256603071,0.196075092,0.226938129,0.203029568,0.204457134,0.212398055,0.195030136,0.229370208,0.236740914,0.230436582,0.200366084,0.215457072,0.207533154,0.210422678,0.235849288,0.234832877,0.237950693,0.244355997,0.246031701,0.233121514,0.221358669,0.21437466,0.22371713,0.213715742,0.247141816,0.212192016,0.221647855,0.234579496,0.246397234,0.226100341,0.208553918,0.257078817,0.221604372,0.233786365,0.241230873,0.220061509,0.231394881,1002
Length Person VAR CM [km],4.2879311,4.654686771,4.778259016,4.270874961,4.262421589,4.364038588,4.052542824,4.187153681,4.247700236,4.149358998,4.892192177,4.015926562,3.831538607,4.361633615,4.351625263,4.35415578,4.558701746,4.09112909,4.572057609,4.178833541,4.390606873,4.6452516,4.492674295,4.561981858,4.337902147,4.385221856,4.273315872,4.30928791,4.522867812,4.746937917,5.195998377,5.330901683,4.226952228,5.085104676,4.581903221,4.699403167,4.617789022,4.621058993,4.534956078,4.690578307,4.687574786,4.630575395,1003
Length Person VAR DE [km],5.874373976,6.017984713,5.718626357,5.984844036,6.201034569,6.224455577,5.70569066,5.898017692,5.736789871,5.777798597,5.732604659,5.578916965,5.588033471,5.88999402,6.473706316,5.961344273,5.867021786,5.587354085,5.594592457,5.78047955,5.856619499,5.727126849,5.758992573,5.860502301,5.970209384,5.876824353,5.932437414,5.672762504,6.004823903,5.838993483,5.951179043,6.150920272,6.292251927,6.138698235,6.061504135,6.084077841,5.956156975,5.477949208,6.090112717,5.855397823,5.936583762,5.901247495,1004
Length Person VAR ca [km],14.24895732,13.59762405,14.17559904,14.06715347,14.75994152,14.57060633,14.51082577,14.13151435,14.14996736,14.83016972,14.50847512,13.65963683,13.6084445,14.0359759,13.81808043,14.51498168,14.1517863,13.60286036,13.6671964,13.22905209,13.31765335,13.61506681,13.87063708,13.115036,13.52984267,12.77514392,13.08981108,13.13271222,13.46859801,12.99755494,12.9009144,13.16983567,13.09870428,12.79590774,13.43598256,13.59826059,13.22517971,12.99736307,13.53761194,13.13625178,13.35865352,13.29205085,1005
Length Person VAR ri [km],98.53630229,99.17194556,103.4431186,101.3007226,101.0530874,104.3851891,110.645051,100.6353611,99.51144088,100.2953647,112.8942539,97.25234391,102.6392161,100.1242072,96.39807366,95.36398885,103.3205977,105.7824755,106.4985159,104.1687134,106.4447192,101.2480397,104.1003235,122.7175892,124.1570636,120.5449129,118.5357143,116.7264894,118.9502987,138.3747826,143.1317128,140.3058322,136.9595174,138.4207339,138.2098623,113.8333413,114.4847364,122.6753552,118.7308584,117.6341131,118.4078654,114.5763878,1006
Length Person VAR AM [km],34.25087937,33.06484528,36.82341366,33.62568133,35.14613903,35.41879463,32.50613927,33.84801139,32.88516277,35.1930001,31.70863079,33.57100098,34.56295608,34.11737051,32.71725293,32.16254591,33.43734508,33.59924928,33.79083837,34.56469054,34.17852545,33.29315043,31.84269378,33.42291662,35.17623573,38.80111464,33.07179282,33.17211935,32.54752899,33.46307484,37.95213858,35.29166998,34.67298792,36.07694656,33.51202529,36.60421775,34.83759109,34.51297214,35.622807,35.52461231,34.94244919,34.03020022,1007
Length Person VAR CE [km],29.92411196,28.27749763,28.97200307,28.11549423,28.61139537,27.6669761,27.97350705,28.43517897,29.66179228,28.66365938,29.68148283,28.42410588,29.16746028,28.9435863,29.19189044,28.99332122,28.20220668,28.96966585,29.14627107,29.11563413,27.99190906,30.04712172,29.8528234,27.65584945,28.97019521,28.31550985,28.64645831,27.82840886,29.29923214,27.81889749,27.96580667,27.54116077,27.98021673,28.4028139,29.08427487,27.43611914,28.07099481,27.70290175,27.49507537,28.50678982,28.00702034,28.48428285,1008
Length Person VAR AY [km],0.385058081,0.457776803,0.327903163,0.492770896,0.44372862,0.393138997,0.411030229,0.450875344,0.428353152,0.464693948,0.302181241,0.365438379,0.404160372,0.387702942,0.37483291,0.429197803,0.458402233,0.425256894,0.403531276,0.400460477,0.356945807,0.492314372,0.385324064,0.435057654,0.475218845,0.408179421,0.399287483,0.392130589,0.414223606,0.45362801,0.388332044,0.406521091,0.334037985,0.418852558,0.443120247,0.436721734,0.364180939,0.322314511,0.433735591,0.403005688,0.356590801,0.409339669,1009
Length Person VAR SB [km],97.87509245,107.8182285,36.4053745,103.9535666,129.3318037,113.508741,146.0485661,64.39220977,94.42259073,157.0486609,124.0314373,126.9506637,71.98172182,92.58734874,97.91234297,39.26676376,76.58057422,116.9360853,100.8602827,129.5369796,103.502444,79.0882778,92.08719172,68.68402553,113.404809,116.5226748,69.6672813,103.0049623,79.71413335,53.13114338,45.31157729,64.21695188,105.9213271,113.7971188,124.2083858,46.03754221,62.4859736,57.11529274,76.64680955,82.25504355,56.53377397,110.1432953,1010
Length Person VAR HF [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011
Length Person VAR Biodiesel [km],1.177519788,1.19438155,1.068417547,1.256752042,1.228401036,1.198757025,1.208212077,1.120346434,1.162027593,1.246183407,1.204270282,1.186262946,1.152536829,1.252837374,1.194203706,1.161828518,1.167901777,1.201702552,1.192577308,1.192998399,1.216517043,1.223272012,1.133287328,1.254107555,1.221508206,1.198724927,1.257752163,1.238249123,1.282479365,1.308788925,1.333502435,1.282069832,1.277548222,1.21722048,1.388815325,1.337807409,1.340931706,1.28789037,1.278889314,1.351128437,1.236188345,1.225271207,1012
Length Person VAR Diesel [km],16.97344208,16.99991195,16.90702058,16.88240593,17.18178889,16.94741982,17.05422834,17.24627605,17.02257364,16.88658381,17.19011348,15.93591606,16.15024071,16.38563309,16.19073445,15.92501075,16.21997087,15.4899544,15.46686401,15.47650496,15.4140194,15.37834401,15.28364098,14.71298377,14.59697987,14.5930806,14.65323744,14.51841403,14.34695971,13.863695,13.96306509,13.8944977,13.73513157,13.87644247,13.76458716,14.32345784,14.24553457,14.61580789,14.49916898,14.28953323,14.01678123,13.92519661,1013
Length Person VAR Gasoline [km],125.7713642,126.4401325,126.7462804,126.2379153,127.1267562,126.5973382,128.4825761,127.8277909,127.1288301,127.3392897,130.5323435,125.6330832,127.4074497,128.9655112,126.9507612,126.8466471,130.9080349,126.7029391,127.9400543,128.3621516,129.1611729,128.7201647,130.9493439,128.0948342,128.0241636,128.8601505,128.9086081,130.7652819,132.6773608,128.8375952,128.7715775,129.5471958,129.2294597,132.8978463,136.1886414,129.2379889,128.9260287,128.9768576,129.2704434,129.617754,132.5581112,131.9388289,1014
Length Person VAR Electricity [km],6.551978463,6.682963303,6.421622646,6.466308486,6.409664662,6.622813828,6.823852949,6.233469753,6.512357177,6.407946778,6.466953331,6.330313797,6.329183325,6.428874793,6.645389746,6.557346585,6.485424384,6.429436334,6.549243383,6.362767077,6.513039998,6.27293556,6.645677105,6.43023973,6.389110951,6.265904241,6.52417699,6.523688895,6.783658389,6.219834709,6.412322668,6.619447887,6.506893172,6.593058542,6.617329861,6.252300939,6.477924256,6.27146987,6.377053347,6.552778059,6.549324031,6.450127772,1015
Length Person VAR Food [km],10.16350442,10.1766923,10.33303938,9.784627166,9.671009326,9.1421277,8.617500297,9.894924834,9.575542002,9.147669838,8.539556895,10.75788783,10.66549516,10.21554503,9.835957038,9.261452729,8.805108342,11.06496737,11.15544935,10.5217545,10.48853291,9.751086258,8.838873798,12.23532962,12.42386494,11.80114808,11.47054789,10.55596846,9.893303986,14.04942851,14.22406526,13.11266189,12.82014373,11.87341373,10.90131765,14.70915138,14.30173718,14.45843633,13.32505312,13.05511537,12.00227609,10.81047933,1016
Length Person STD [km],8.125239096,8.140764806,8.146995396,8.14388956,8.178487872,8.181242192,8.261806499,8.198490971,8.178440915,8.20719515,8.326420462,8.063707611,8.117720056,8.170821091,8.121216882,8.147204041,8.319555104,8.053484051,8.089389171,8.106448301,8.134464182,8.162420067,8.300012006,8.047214237,8.038467797,8.069707289,8.080134472,8.171669001,8.329706525,8.032667083,8.032623495,8.054566066,8.051496783,8.190168683,8.415494354,8.080221556,8.066815371,8.080703623,8.088495407,8.096121528,8.203314518,8.31339375,1017
Length Person STD Walk [km],3.16533352,3.165086211,3.192109912,3.104488101,3.084625673,3.001132699,2.913971701,3.122535389,3.071057422,3.002655287,2.900286321,3.25376189,3.237998686,3.167311299,3.103834051,3.014961577,2.944366323,3.293639709,3.308452212,3.207860549,3.203132509,3.090441538,2.946573442,3.46285568,3.488300197,3.396496511,3.345506271,3.208620786,3.115456272,3.712164329,3.734594759,3.577345788,3.535064286,3.401735021,3.26954059,3.808357463,3.757169058,3.776743249,3.619843491,3.5815855,3.431517716,3.26322055,1018
Length Person STD Bike [km],3.110455834,3.207896136,3.136693946,3.088228858,3.119169933,2.941594574,2.7800107,3.081896141,3.032581452,2.898899473,2.774228646,3.318879307,3.37661457,3.333914985,3.403571729,3.138903974,2.850229742,3.601672448,3.567766441,3.626460975,3.598705704,3.377137449,3.005835164,3.836372224,3.91219007,3.885099241,3.934377296,3.783305137,3.334112692,4.145790942,4.181899649,4.21940953,4.234485894,4.090451759,3.574702081,3.952499991,3.798127145,3.869376589,3.896759377,3.88437284,3.802235649,3.319493748,1019
Length Person STD Car [km],11.49579806,11.53697262,11.53737529,11.52456655,11.5761577,11.56841452,11.66482028,11.59857228,11.57050526,11.60989347,11.757607,11.4835656,11.55545883,11.64646154,11.56146289,11.60716937,11.82328298,11.530778,11.58251915,11.60471458,11.65102097,11.68780756,11.84377983,11.58877057,11.56951174,11.61210639,11.62296537,11.73809222,11.8720928,11.6030332,11.60313461,11.64250044,11.62148336,11.78760212,11.93956694,11.65149502,11.65329605,11.63650116,11.67062844,11.68620629,11.8565065,11.92483611,1020
Length Person STD Car Emergency [km],10.17924542,10.27519173,10.21823569,10.18361693,10.33933025,10.2584869,10.26214005,10.34260098,10.26506741,10.24043928,10.37735677,10.14991365,10.27477687,10.33346719,10.32771007,10.31368541,10.45238754,10.23945978,10.27287309,10.26105393,10.34099568,10.37184383,10.38893299,10.16163691,10.2616748,10.31765543,10.29347402,10.35087342,10.43882006,10.15156884,10.12986104,10.2325051,10.16905729,10.33241537,10.3650355,10.26790497,10.15916274,10.24724658,10.33501229,10.2994641,10.43212881,10.46054882,1021
Length Person STD Car HOV2 Emergency [km],9.910798083,9.988466414,9.917016154,9.873789009,10.06407668,9.914113704,9.946004572,9.948275239,10.01155493,9.982665114,9.864568148,9.879929916,10.01317742,10.11430626,10.07182755,9.86427775,9.924043063,9.961573242,9.922317258,10.04246164,10.01542865,9.954713991,10.01908156,10.02212395,9.90394495,9.943822593,9.990869144,10.02612954,9.89234598,9.837684952,9.786733754,9.773783733,9.832185956,9.95513135,9.938423578,10.05006655,9.918425368,9.891923587,9.977824381,9.810394703,9.848747103,9.88482255,1022
Length Person STD Car HOV3 Emergency [km],9.954787591,9.880043584,9.810254714,9.906469638,9.972338201,9.920001582,9.961646167,10.15829218,9.989887822,9.798006098,9.929266349,10.04004448,9.96962696,10.31654024,10.066013,9.832440886,9.866616679,9.870272011,9.969653058,10.04569852,10.16897152,9.934775967,9.868049039,9.846176545,9.830958984,9.947211242,9.911354208,9.841963406,9.888312004,9.78092978,9.926830881,9.767520411,9.765814511,9.87878128,9.920600662,9.902887427,9.800214077,9.957821018,9.962484144,9.939184654,9.927965339,9.720868773,1023
Length Person STD Ride Hail [km],9.972044789,10.00646357,10.20825362,10.09124875,10.07679758,10.22976067,10.52094084,10.06384526,9.996451343,10.02344496,10.63133903,9.901524315,10.16427119,10.0321051,9.837495156,9.775731743,10.16800001,10.31857953,10.35323175,10.22937216,10.34172949,10.07302506,10.20700989,11.1143165,11.18150956,11.00396479,10.90972774,10.81514863,10.9137023,11.7896893,12.00982821,11.86537753,11.7239156,11.77946213,11.76652818,10.69878192,10.72824821,11.1077882,10.91693597,10.86535768,10.89000392,10.70850159,1024
Length Person STD Empty Ride Hail [km],2.868942742,3.42194881,3.121369658,3.952305779,4.613686091,6.049611548,8.816145771,3.59426083,4.809621254,7.133441109,8.272050942,2.706674706,2.817259524,3.148766266,4.200168212,6.059916726,7.486251763,2.636729934,2.337126839,3.168722494,3.373342784,5.752804482,6.952910429,3.049182737,2.583297861,3.38545591,3.668243453,6.704822385,6.13898944,4.77210006,2.701159507,5.946461995,5.942435884,7.812286797,5.34329042,5.145406629,5.274398898,2.787367803,4.375919882,4.244107213,7.440917936,7.551798413,1025
Length Person STD Ride Hail WC [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026
Length Person STD Empty Ride Hail WC [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027
Length Person STD CAV [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028
Length Person STD Car HOV2 [km],10.35879996,10.34850841,10.37183028,10.37984136,10.3559413,10.33094175,10.34722303,10.43294711,10.37209877,10.35899072,10.44340169,10.36554841,10.44859052,10.4799511,10.38491684,10.34264094,10.44730385,10.36524858,10.43707283,10.48585736,10.50940965,10.41779084,10.456714,10.39036939,10.44876185,10.42736832,10.44919589,10.46493867,10.47253422,10.40896805,10.42451469,10.38865409,10.3936479,10.48968492,10.51600595,10.43310258,10.3580165,10.40016932,10.3878857,10.39820752,10.48138123,10.41054796,1029
Length Person STD Car HOV3 [km],9.79702909,9.747643507,9.81176853,9.761942836,9.805363914,9.747369838,9.823183546,9.8506157,9.898599254,9.786074328,9.887728371,9.772289911,9.889662856,9.927638162,9.881167027,9.788332118,9.911457781,9.825662118,9.854540748,9.896467295,9.862483438,9.813640458,9.886244341,9.806952146,9.835712401,9.918828866,9.888596196,9.895333465,9.850484767,9.839170757,9.772504385,9.796849372,9.79911112,9.844858026,9.907365472,9.849075998,9.758713101,9.843886884,9.724403526,9.827495904,9.882653903,9.819479668,1030
Length Person STD Bus [km],1.075183432,1.068196694,1.074314389,1.082878053,1.081117972,1.092122188,1.080011702,1.084987109,1.080948333,1.072671214,1.080381808,1.071397659,1.058676399,1.064499524,1.059004506,1.063270246,1.068187199,1.067109418,1.053071284,1.077383542,1.066291981,1.069150406,1.075442057,1.072672544,1.064137269,1.058643287,1.071727375,1.061391023,1.077249044,1.082385519,1.085960982,1.085662366,1.076247926,1.075455188,1.08953151,1.077353891,1.096224152,1.089457643,1.077835433,1.087140758,1.074042807,1.075043618,1031
Length Person STD Tram [km],0.506455241,0.504486106,0.505135576,0.505551381,0.506086921,0.504918715,0.504354285,0.505139985,0.507585609,0.507458918,0.504990683,0.50490177,0.506440352,0.506159788,0.506354532,0.506891118,0.506624242,0.506222486,0.50654874,0.505152905,0.504516077,0.505358926,0.504847059,0.507242036,0.506483867,0.505833499,0.505584163,0.506723134,0.506572639,0.506805649,0.504779499,0.50467152,0.505644544,0.505715895,0.505328525,0.505209795,0.506747169,0.50451093,0.505534677,0.504260011,0.505637203,0.505117858,1032
Length Person STD Rail [km],4.499597338,4.410457075,4.536779218,4.440441162,4.55661337,4.552546914,4.51183393,4.494963007,4.497271428,4.583790871,4.458671569,4.406425901,4.446497079,4.424903911,4.426889996,4.450758124,4.448605282,4.409188842,4.394059306,4.383669832,4.424468881,4.388422074,4.401034153,4.343622955,4.435765072,4.408650354,4.302886647,4.305987836,4.388483002,4.324529798,4.450558945,4.358240667,4.345347447,4.340111252,4.332976766,4.464681883,4.382044897,4.343093419,4.43154851,4.412557528,4.422228645,4.313648726,1033
Length Person STD Subway [km],2.212763171,2.214313861,2.215160928,2.209991306,2.215525882,2.218305515,2.203794898,2.21298902,2.210128228,2.206787678,2.207698098,2.214088541,2.213877531,2.217920047,2.207208933,2.205727133,2.205882477,2.219903335,2.217378046,2.221843107,2.218211627,2.207310462,2.204197997,2.230313168,2.228106593,2.222224315,2.224312911,2.221041152,2.216875902,2.234338221,2.23552262,2.23233465,2.231582159,2.225923033,2.229165677,2.229195558,2.230832795,2.22807901,2.237285624,2.235544079,2.236336726,2.225996157,1034
Length Person STD Cable Car [km],0.033229222,0.033379895,0.033348704,0.033310668,0.033257624,0.033377685,0.033373141,0.033225207,0.033425192,0.033422908,0.03352878,0.033291122,0.033381313,0.033284501,0.033356349,0.033316647,0.033330671,0.033359435,0.03320838,0.033390895,0.033455265,0.033545543,0.033398909,0.033501572,0.033617452,0.03328341,0.033398783,0.033322598,0.033388237,0.033548879,0.033187134,0.033547682,0.033533343,0.033392556,0.033270532,0.033392178,0.033323184,0.033489381,0.033279651,0.03342882,0.033245693,0.033450725,1035
Length Person STD Ferry [km],9.893184141,10.38355568,6.033686643,10.19576219,11.37241416,10.6540481,12.08505549,8.024475669,9.717128729,12.53190572,11.13694021,11.26723851,8.484204254,9.622232004,9.895066597,6.266319794,8.751032752,10.81369897,10.04292202,11.38143135,10.17361509,8.893159045,9.596207153,8.287582611,10.6491694,10.79456691,8.346692836,10.14913604,8.928277177,7.289111289,6.731387471,8.013548021,10.29180874,10.66757324,11.1448816,6.785097067,7.904806993,7.557466027,8.754816363,9.069456629,7.518894464,10.49491759,1036
