taz,parkingType,chargingType,reservedFor,pricingModel,feeInCents,parkingZoneId,numStalls
4.8453E+12,Public,NoCharger,Any,FlatFee,0,391,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,392,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,393,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,394,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,395,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,396,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,397,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,398,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,399,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,400,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,401,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,402,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,403,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,404,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,405,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,406,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,407,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,408,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,409,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,410,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,411,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,412,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,413,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,414,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,415,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,416,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,417,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,418,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,419,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,420,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,421,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,422,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,423,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,424,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,425,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,426,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,427,35
